# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sat, 04 Nov 2017 23:00:14 +0100
#
# IP	number of (black)lists
#
197.231.221.211	13
62.210.37.82	13
104.223.123.98	12
199.87.154.255	12
85.248.227.163	12
89.234.157.254	11
62.210.105.116	11
171.25.193.20	11
80.67.172.162	11
170.250.140.52	11
62.102.148.67	11
23.129.64.11	11
176.126.252.12	11
155.133.64.203	11
192.42.116.16	11
5.254.79.66	10
128.31.0.13	10
51.15.53.83	10
64.113.32.29	10
171.25.193.25	10
65.19.167.132	10
171.25.193.77	10
171.25.193.78	10
216.239.90.19	10
212.21.66.6	10
46.165.230.5	10
192.160.102.170	10
5.254.112.154	10
85.248.227.164	10
77.247.181.162	10
207.244.70.35	9
185.117.215.9	9
171.25.193.235	9
5.188.11.165	9
163.172.212.115	9
155.4.230.97	9
5.101.40.38	9
5.101.40.37	9
51.15.141.220	9
183.136.188.116	9
71.6.146.186	9
60.173.82.156	9
51.255.202.66	9
61.188.189.5	9
185.107.81.233	9
163.172.217.50	9
18.85.22.204	9
212.47.227.114	9
222.85.224.95	9
218.60.136.106	9
198.96.155.3	9
192.160.102.168	9
218.98.32.157	9
85.248.227.165	9
5.188.10.179	9
185.100.87.206	9
185.100.87.207	9
218.8.128.233	8
163.172.101.137	8
218.156.85.17	8
120.52.96.35	8
94.142.242.84	8
5.188.10.156	8
58.221.249.102	8
212.129.18.55	8
195.22.126.178	8
51.15.87.157	8
46.148.20.25	8
60.165.208.28	8
111.40.124.43	8
163.172.136.101	8
162.247.72.200	8
58.48.178.200	8
45.63.70.88	8
185.165.29.84	8
193.171.202.150	8
219.232.206.249	8
123.164.227.204	8
60.7.70.205	8
103.207.36.251	8
213.8.199.27	8
180.153.19.139	8
165.227.113.9	8
114.207.154.2	8
176.10.104.240	8
31.184.194.114	8
5.199.130.188	8
23.129.64.12	8
51.15.8.100	8
96.255.14.191	8
178.20.55.18	8
178.20.55.16	8
181.214.87.4	8
91.212.150.219	8
89.248.167.131	8
185.100.85.101	8
185.129.62.62	8
192.160.102.166	8
121.108.193.86	8
51.15.43.205	8
203.190.163.125	8
202.107.104.119	8
71.6.135.131	8
111.75.200.68	8
46.17.97.112	8
210.206.120.250	8
185.158.113.62	8
138.19.133.51	8
222.173.194.9	8
166.70.207.2	8
185.94.111.1	8
204.85.191.31	8
37.220.35.202	8
213.61.149.100	8
156.67.106.30	8
118.186.36.50	8
93.115.95.202	8
162.247.73.206	8
46.246.37.180	8
80.76.245.198	8
37.187.94.86	8
51.15.63.229	8
84.19.181.25	7
1.212.241.35	7
103.217.152.20	7
80.82.77.33	7
180.173.146.96	7
62.210.129.246	7
115.248.230.19	7
142.4.211.161	7
195.22.126.177	7
218.102.15.141	7
163.172.151.250	7
211.253.10.96	7
154.16.149.74	7
61.19.202.114	7
164.132.51.91	7
66.240.236.119	7
78.109.23.1	7
162.247.72.201	7
162.247.72.202	7
200.60.117.210	7
212.124.160.10	7
103.89.91.28	7
162.247.72.213	7
82.221.105.6	7
31.185.104.19	7
65.19.167.130	7
65.19.167.131	7
198.20.99.130	7
183.129.255.34	7
195.154.48.85	7
117.232.96.204	7
164.132.106.162	7
103.193.200.30	7
104.200.20.46	7
79.172.193.32	7
104.238.126.76	7
94.102.49.190	7
94.102.49.193	7
46.17.46.213	7
61.8.76.194	7
176.126.252.11	7
113.105.246.245	7
51.15.64.212	7
222.88.202.201	7
62.176.4.10	7
61.177.172.160	7
5.101.40.10	7
87.118.122.30	7
117.71.18.20	7
5.196.1.129	7
114.113.144.113	7
198.20.87.98	7
178.17.174.10	7
185.70.11.132	7
187.33.2.56	7
185.100.84.82	7
27.255.66.62	7
209.92.176.114	7
146.185.177.103	7
193.93.217.142	7
66.240.192.138	7
196.38.70.24	7
66.35.51.195	7
162.247.72.27	7
162.213.3.221	7
106.39.70.219	7
213.136.65.5	7
75.147.142.90	7
106.39.39.28	7
190.210.142.45	7
89.31.57.5	7
95.211.230.94	7
45.76.229.63	7
198.20.69.98	7
183.129.160.229	7
176.10.104.243	7
198.20.70.114	7
89.45.226.28	7
185.165.29.200	7
80.82.77.139	7
95.128.43.164	7
178.217.187.39	7
121.14.7.244	7
71.6.167.142	7
71.6.146.185	7
119.254.153.43	7
212.83.163.198	7
41.206.188.206	7
51.15.79.107	7
162.247.72.199	7
204.188.251.130	7
94.243.161.214	7
192.160.102.169	7
93.174.93.133	7
112.175.184.247	7
74.56.104.87	7
193.201.224.241	7
159.100.29.228	7
162.247.72.7	7
64.124.32.84	7
125.212.217.215	7
114.109.128.126	7
103.207.37.176	7
59.41.103.97	7
185.165.29.57	7
149.56.223.241	7
74.194.6.5	7
186.251.163.2	7
193.15.16.4	7
221.234.140.141	7
121.18.238.123	7
163.172.171.163	7
117.146.60.13	7
178.17.170.196	7
216.158.238.186	7
185.100.86.86	7
185.38.14.171	7
84.53.225.118	7
92.87.236.230	7
185.100.86.154	7
121.14.27.58	7
37.187.129.166	7
163.172.160.182	7
71.6.165.200	7
176.223.113.26	7
181.174.110.26	7
223.71.231.46	7
88.168.115.1	7
211.75.141.112	7
141.170.2.53	7
118.104.134.224	7
198.167.223.38	7
217.79.184.6	6
178.159.36.29	6
223.27.207.72	6
185.165.29.198	6
66.240.219.146	6
185.110.132.49	6
222.103.136.105	6
91.227.28.96	6
51.15.219.16	6
217.169.49.242	6
201.233.211.56	6
103.207.37.103	6
109.200.157.50	6
188.32.212.252	6
51.15.196.158	6
93.174.95.106	6
121.79.132.68	6
211.252.87.218	6
211.178.86.38	6
183.239.228.51	6
218.8.128.232	6
51.15.147.86	6
185.63.100.7	6
122.13.0.148	6
185.38.14.215	6
62.4.14.239	6
46.29.162.7	6
84.209.48.106	6
193.107.85.56	6
95.188.30.69	6
151.80.238.152	6
196.54.55.14	6
222.88.237.136	6
193.70.39.41	6
195.22.126.176	6
123.207.154.49	6
185.100.85.61	6
169.54.233.124	6
187.51.2.194	6
118.102.171.244	6
111.1.40.99	6
112.54.96.90	6
121.18.238.28	6
58.247.66.86	6
114.119.41.82	6
211.195.14.39	6
201.55.116.38	6
202.51.74.55	6
58.150.95.76	6
96.246.160.75	6
176.10.107.180	6
112.220.201.150	6
219.77.166.100	6
179.27.67.122	6
124.193.150.157	6
185.163.1.11	6
171.244.17.144	6
93.115.95.201	6
78.243.142.64	6
5.188.11.13	6
92.87.250.113	6
195.154.231.11	6
61.164.37.69	6
208.100.26.228	6
72.49.236.15	6
51.15.72.53	6
182.71.48.178	6
204.9.200.244	6
97.74.237.196	6
222.72.249.250	6
183.207.214.35	6
83.234.11.186	6
178.17.170.156	6
188.214.104.146	6
180.101.143.2	6
162.247.72.216	6
162.247.72.217	6
